turn_budget,recall,f1,tp,n_sessions
4,0.526,0.689,81,154
8,0.721,0.838,111,154
12,0.857,0.923,132,154
16,0.935,0.966,144,154
24,0.968,0.983,149,154
32,0.987,0.993,152,154
48,1.0,1.0,154,154
64,1.0,1.0,154,154
80,1.0,1.0,154,154
